Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG
2018,Marco Belinelli\belinma01,31,52,1211.6000000000001,14.1,0.555,1.9,0.1,0.41100000000000003,0.927,98.8,104,46.800000000000004,5.2,592.8000000000001,11.4,1.9,2,0.9,0.1
2018,Marco Belinelli\belinma01,31,28,736.4,14.2,0.628,1.8,0.2,0.495,0.87,50.4,44.800000000000004,19.599999999999998,8.4,380.8,13.6,1.8,1.6,0.7,0.3
2018,Jordan Bell\belljo01,23,57,809.4,18,0.6409999999999999,2.9,1.2,0.627,0.682,205.20000000000002,102.60000000000001,34.199999999999996,57,262.2,4.6,3.6,1.8,0.6,1
2018,DeAndre' Bembry\bembrde01,23,26,455,7.6,0.47700000000000004,-0.4,-0.3,0.414,0.5760000000000001,72.8,49.4,20.8,13,135.20000000000002,5.2,2.8,1.9,0.8,0.5
2018,Dragan Bender\bendedr01,20,82,2066.4,7.1,0.524,0.1,-0.4,0.386,0.765,360.8,131.20000000000002,24.599999999999998,49.199999999999996,533,6.5,4.4,1.6,0.3,0.6
2018,Davis Bertans\bertada01,25,77,1085.7,14.1,0.588,3.1,0.8,0.44,0.816,154,77,23.099999999999998,30.8,454.3,5.9,2,1,0.3,0.4
2018,Patrick Beverley\beverpa01,29,11,334.4,12.3,0.53,0.4,0.2,0.40299999999999997,0.8240000000000001,45.099999999999994,31.9,17.6,5.5,134.2,12.2,4.1,2.9,1.6,0.5
2018,Khem Birch\birchkh01,25,42,579.6,16.4,0.5820000000000001,1.8,0.3,0.54,0.6890000000000001,180.6,33.6,16.8,21,176.4,4.2,4.3,0.8,0.4,0.5
2018,Jabari Bird\birdja01,23,13,114.4,12.1,0.615,0.2,0,0.5770000000000001,0.462,19.5,7.8,2.6,1.3,39,3,1.5,0.6,0.2,0.1
2018,Bismack Biyombo\biyombi01,25,82,1492.3999999999999,14.1,0.556,2.9,0.2,0.52,0.65,467.40000000000003,65.60000000000001,24.599999999999998,98.39999999999999,467.40000000000003,5.7,5.7,0.8,0.3,1.2
2018,Nemanja Bjelica\bjeline01,29,67,1373.5,12.6,0.581,2.8,0.9,0.461,0.8,274.7,87.10000000000001,46.9,13.4,455.59999999999997,6.8,4.1,1.3,0.7,0.2
