Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Steve Johnson,27,74,1659,14.1,0.593,3.1,0.4,0.545,0.718,437,64,37,62,743,10.04054054054054,5.905405405405405,0.8648648648648649,0.5,0.8378378378378378,0
1985,Vinnie Johnson,28,82,2093,14.9,0.5,4.2,1.3,0.45399999999999996,0.769,252,325,71,20,1051,12.817073170731707,3.073170731707317,3.9634146341463414,0.8658536585365854,0.24390243902439024,0
1985,Bobby Jones,33,80,1633,15.2,0.625,4.8,2.1,0.5379999999999999,0.861,297,155,84,50,600,7.5,3.7125,1.9375,1.05,0.625,0
1985,Caldwell Jones,34,42,885,6.9,0.523,0.9,0.1,0.461,0.7659999999999999,211,34,12,31,142,3.380952380952381,5.023809523809524,0.8095238095238095,0.2857142857142857,0.7380952380952381,0
1985,Charles Jones,23,78,1565,14.4,0.5660000000000001,2.9,0.8,0.52,0.648,394,128,45,61,654,8.384615384615385,5.051282051282051,1.641025641025641,0.5769230769230769,0.782051282051282,0
1985,Charles Jones,27,31,667,14.9,0.57,2.2,0.9,0.528,0.69,184,26,22,79,174,5.612903225806452,5.935483870967742,0.8387096774193549,0.7096774193548387,2.5483870967741935,0
1985,Charles Jones,27,3,29,8.5,0.602,0,0,0.5,0.667,6,1,0,5,8,2.6666666666666665,2,0.3333333333333333,0,1.6666666666666667,0
1985,Charles Jones,27,28,638,15.1,0.569,2.2,0.9,0.528,0.6920000000000001,178,25,22,74,166,5.928571428571429,6.357142857142857,0.8928571428571429,0.7857142857142857,2.642857142857143,0
1985,Earl Jones,24,2,7,-11,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1985,Edgar Jones,28,44,769,11.7,0.528,0.9,-0.3,0.473,0.7390000000000001,171,29,20,29,342,7.7727272727272725,3.8863636363636362,0.6590909090909091,0.45454545454545453,0.6590909090909091,0
1985,Edgar Jones,28,18,322,11.5,0.569,0.5,0,0.484,0.804,62,18,9,18,129,7.166666666666667,3.4444444444444446,1,0.5,1,0
1985,Edgar Jones,28,26,447,11.8,0.506,0.4,-0.3,0.467,0.6829999999999999,109,11,11,11,213,8.192307692307692,4.1923076923076925,0.4230769230769231,0.4230769230769231,0.4230769230769231,0
1985,Major Jones,31,47,418,11.1,0.589,0.7,0,0.552,0.647,128,15,9,14,129,2.74468085106383,2.723404255319149,0.3191489361702128,0.19148936170212766,0.2978723404255319,0
1985,Ozell Jones,24,67,888,11.4,0.5660000000000001,1.3,0.4,0.589,0.39799999999999996,238,56,30,57,245,3.656716417910448,3.5522388059701493,0.835820895522388,0.44776119402985076,0.8507462686567164,0
1985,Michael Jordan*,21,82,3144,25.8,0.5920000000000001,14,8.1,0.515,0.845,534,481,196,69,2313,28.20731707317073,6.512195121951219,5.865853658536586,2.3902439024390243,0.8414634146341463,0
1985,Rich Kelley,31,77,1276,8.5,0.547,1.7,0.5,0.47700000000000004,0.75,350,120,42,30,290,3.7662337662337664,4.545454545454546,1.5584415584415585,0.5454545454545454,0.38961038961038963,0
1985,Clark Kellogg,23,77,2449,18.9,0.557,6.1,2.6,0.505,0.76,724,244,86,26,1432,18.5974025974026,9.402597402597403,3.168831168831169,1.1168831168831168,0.33766233766233766,0
1985,Greg Kelser,27,10,114,13,0.475,0.1,-0.1,0.396,0.7140000000000001,19,13,7,0,62,6.2,1.9,1.3,0.7,0,0
1985,Jerome Kersey,22,77,958,15.3,0.524,2.2,0.3,0.478,0.6459999999999999,206,63,49,29,473,6.142857142857143,2.675324675324675,0.8181818181818182,0.6363636363636364,0.37662337662337664,0
1985,Albert King,25,42,860,17.7,0.531,1.9,0.2,0.491,0.8170000000000001,159,58,41,9,537,12.785714285714286,3.7857142857142856,1.380952380952381,0.9761904761904762,0.21428571428571427,0
1985,Bernard King*,28,55,2063,25.2,0.585,7.1,3.3,0.53,0.772,317,204,71,15,1809,32.89090909090909,5.763636363636364,3.709090909090909,1.290909090909091,0.2727272727272727,0
1985,Reggie King,27,60,860,6.9,0.47700000000000004,0.5,-0.3,0.423,0.695,122,53,28,11,167,2.783333333333333,2.033333333333333,0.8833333333333333,0.4666666666666667,0.18333333333333332,0
1985,Greg Kite,23,55,424,3.9,0.431,0.1,-0.4,0.375,0.688,89,17,3,10,88,1.6,1.6181818181818182,0.3090909090909091,0.05454545454545454,0.18181818181818182,0
1985,Billy Knight,32,68,800,11.7,0.501,0.4,-0.6,0.441,0.877,118,80,16,2,387,5.6911764705882355,1.7352941176470589,1.1764705882352942,0.23529411764705882,0.029411764705882353,0
1985,Billy Knight,32,16,189,10.2,0.5,0.1,-0.1,0.449,0.813,22,21,2,1,76,4.75,1.375,1.3125,0.125,0.0625,0
